Fold,Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1,2.3046771632300485,9.281228192602931,2.202379802862803,8.913649025069638
1,2,2.3077942371368407,8.374040474528961,2.2186924119790397,9.749303621169917
1,3,2.2929776933458115,9.490579204466155,2.211946020523707,9.192200557103064
1,4,2.296900924046834,9.071877180739707,2.20281512538592,9.192200557103064
1,5,2.3051180521647137,9.769713886950454,2.19654510418574,10.86350974930362
1,6,2.2959107557932534,9.42079553384508,2.21109730998675,9.749303621169917
1,7,2.3066766156090632,8.862526168876483,2.216981162627538,9.192200557103064
1,8,2.3043255276150174,9.769713886950454,2.2137781282265983,7.242339832869081
1,9,2.298241376876831,9.281228192602931,2.2085406879583993,8.07799442896936
1,10,2.2802449279361303,9.490579204466155,2.218676418066025,11.420612813370473
1,11,2.2928121725718182,9.490579204466155,2.2027187248071036,11.420612813370473
1,12,2.2971398883395726,8.862526168876483,2.201623648405075,8.635097493036211
1,13,2.299055422676934,9.281228192602931,2.191976845264435,10.30640668523677
1,14,2.2900324715508353,10.60711793440335,2.2176993985970817,10.584958217270195
1,15,2.296655278735691,9.002093510118632,2.2113047341505685,10.584958217270195
1,16,2.3059709284040664,9.211444521981857,2.218994915485382,6.963788300835654
1,17,2.309731192058987,9.14166085136078,2.214838514725367,10.027855153203342
1,18,2.312708939446343,9.14166085136078,2.20109095176061,9.192200557103064
1,19,2.2932874626583524,10.188415910676902,2.209176073471705,9.192200557103064
1,20,2.3102909247080485,8.374040474528961,2.1923699180285134,9.192200557103064
1,21,2.2997467358907064,9.42079553384508,2.215506116549174,8.913649025069638
1,22,2.2951329231262205,9.909281228192603,2.217293163140615,10.027855153203342
1,23,2.2959755738576253,10.258199581297976,2.2087995608647666,8.07799442896936
1,24,2.2894975821177166,9.560362875087229,2.1971298654874167,7.520891364902507
1,25,2.3000252935621472,9.490579204466155,2.196462959051132,6.406685236768802
1,26,2.293019013934665,9.351011863224006,2.2060763935248056,9.470752089136491
1,27,2.297985013326009,9.351011863224006,2.179685632387797,9.192200557103064
1,28,2.3052624490525986,8.722958827634333,2.19184418519338,10.30640668523677
1,29,2.3204700734880235,8.862526168876483,2.210174868504206,6.685236768802229
1,30,2.2896140628390844,10.188415910676902,2.2160299817721048,7.7994428969359335
